Virtualisierung;CPU_Base;CPU_NN;RAM_Base;RAM_NN;IOPS_Base;IOPS_NN;Lat_Base;Lat_NN
QEMU;181.3600;82.7100;148.3100;63.8000;2476.8508;984.3018;6.8485;26.3455
LXC;692.8500;576.9900;4802.6150;2763.1900;10965.5578;8832.2034;0.5857;2.5723
KVM;691.0000;564.3350;3708.0200;2074.1750;55659.6831;22348.0608;0.3215;1.7777
