Virtualisierung;CPU_Base;CPU_NN;RAM_Base;RAM_NN;IOPS_Base;IOPS_NN;Lat_Base;Lat_NN
LXC;11383.3050;9294.3200;11629.7200;6524.2350;373849.7301;180075.3849;0.0430;0.0866
KVM;11348.9650;8880.5400;9008.8650;4740.5350;183374.3251;67586.2827;0.1331;0.6472
