Virtualisierung;CPU_Base;CPU_NN;RAM_Base;RAM_NN;IOPS_Base;IOPS_NN;Lat_Base;Lat_NN
QEMU;428.2400;199.6450;380.0200;142.1750;6210.0391;1959.0358;3.0310;15.7942
LXC;1684.8200;1359.6500;11690.1050;6526.2550;17671.4729;11921.3442;0.3174;1.1797
KVM;1682.6100;1307.1350;9043.8500;4843.5600;79432.0482;33245.8085;0.1526;0.8642
