Szenario;CPU_Events_per_sec;Memory_MiBps;IOPS_Random_Write;Latenz_p95_ms
Baseline;690.8400;3709.5800;60153.0312;0.3215
NoisyNeighbor;564.5600;2094.8350;24461.6346;1.6794
Delta-Prozent;-18.28;-43.53;-59.33;422.36
